Twitter ID#,Twitter User ID,Klout Score,Fol. Ct,Location,Tweet Creation Date,Tweet Text Contents 
365158055081541633,CatOptricsII,18.0694388422,15,,Wed Aug 07 17:10:39 +0000 2013,RT @CACSdotorg: Curious about a California issue? Reply to suggest a dataset we should deliver. #opendata
365156904575582208,allafarce,45.4940753104,313,Oakland CA,Wed Aug 07 17:06:05 +0000 2013,RT @CACSdotorg: Curious about a California issue? Reply to suggest a dataset we should deliver. #opendata
365049827547037696,JayyReale33,41.3842430225,127,Fontana California ,Wed Aug 07 10:00:35 +0000 2013,RT @CACSdotorg: INTERACTIVE MAP: #LA County K12 districts above/below $6410 per-pupil median http://t.co/ikQvSRi661 http://t.co/ElgrHAECiW
364900490381099008,joshuagrossman,51.5832141854,228,San Francisco,Wed Aug 07 00:07:11 +0000 2013,RT @lhasey: Have a question government data can answer? #Nonprofit makes it easier to access mine &amp; customize data @CACSdotorg http://t.co…
364898405887123459,lexoh,61.5692874017,492,Palm Springs,Tue Aug 06 23:58:54 +0000 2013,RT @CACSdotorg: #UC system to release 40000 research papers to public annually - for free &amp; w/o subscription http://t.co/1DB8OG2stG
365359362132279296,BZwriter,34.3008622723,933,California,Thu Aug 08 06:30:34 +0000 2013,Hi @CACSdotorg. If you like my tweets try my political satire novel "Good Intentions" available here on Amazon: http://t.co/myao4L8KwV
365348990809673728,IanJKalin,45.706166507,420,San Francisco CA,Thu Aug 08 05:49:21 +0000 2013,RT @socrata: See California K-12 #opendata - performance spending demographics by district. http://t.co/OUhZnQ7Est @cacsdotorg @SFMOCI
365264862818996225,EDinCali,59.4725882632,22471,Cali,Thu Aug 08 00:15:04 +0000 2013,Unions killing another golden goose(taxpayers) Costs spiral-a Decade of BART Personnel Costs http://t.co/NwMFdBoeR4 via @cacsdotorg
365239529843589120,michelandassoc,30.0177234097,99,California,Wed Aug 07 22:34:24 +0000 2013,“@CACSdotorg:UC est $1.5M impact if bill giving vets in-state tuition rights passes http://t.co/nnvsQAXwtv”less than 2 yrs. pay for UC Pres"
365598139434008576,allafarce,45.4481316087,317,Oakland CA,Thu Aug 08 22:19:23 +0000 2013,"In 2013 alone developers will add about 2100 rentals to the East Bay’s apartment stock" http://t.co/jrWfPIBrg9 ht @CACSdotorg
365565437422997505,MillwallFCEO,37.6933050309,263,Los Angeles CA,Thu Aug 08 20:09:26 +0000 2013,RT @CACSdotorg: Bill that would offer paid leave to CA employees caring for extended family passes Assembly committee http://t.co/pTzgIykLB5
365556619460874242,RedNewsJunkie,25.2741793515,27,California,Thu Aug 08 19:34:24 +0000 2013,RT @CACSdotorg: New Santa Ana city manager will receive $315K base salary; 50K more than predecessor http://t.co/tZEXDrtUSv
365549002839687168,RedNewsJunkie,25.2741793515,27,California,Thu Aug 08 19:04:08 +0000 2013,RT @CACSdotorg: Twelve #health insurance companies officially join CA health exchange http://t.co/Y5rNHA3YC1
365544619561324544,MillwallFCEO,37.6933050309,263,Los Angeles CA,Thu Aug 08 18:46:43 +0000 2013,RT @CACSdotorg: New Santa Ana city manager will receive $315K base salary; 50K more than predecessor http://t.co/tZEXDrtUSv
365527487419129858,JodiTraversaro,No Value,601,California,Thu Aug 08 17:38:38 +0000 2013,RT @CACSdotorg: Twelve #health insurance companies officially join CA health exchange http://t.co/Y5rNHA3YC1
365527293126393857,Quiescentmind,48.0361598615,760,Los Angeles,Thu Aug 08 17:37:52 +0000 2013,RT @CACSdotorg: Twelve #health insurance companies officially join CA health exchange http://t.co/Y5rNHA3YC1
365875649111535616,CoCoYoungDems,28.490796168,111,Contra Costa County CA,Fri Aug 09 16:42:07 +0000 2013,RT @CACSdotorg: Statewide test scores see 1st decline since 2004; 56.4% of students at grade level in English 51.2% in math http://t.co/ig…
365869342073692160,MillwallFCEO,37.6971668012,265,Los Angeles CA,Fri Aug 09 16:17:03 +0000 2013,RT @CACSdotorg: Statewide test scores see 1st decline since 2004; 56.4% of students at grade level in English 51.2% in math http://t.co/ig…
365697400553226240,solotar,12.9142835061,0,,Fri Aug 09 04:53:49 +0000 2013,RT @CACSdotorg: Our new report analyzing #BART personnel spending mentioned via @UTsandiego http://t.co/NcHKQO2Uwg
